NUANO,NUVOLUME,NUTRAMITE,FLTIPOPROCESSO,CDTIPOPARECER,CDMOTIVOTRAMI,FLPARECERASSINADO,FLTRAMIASSINADA,FLULTIMO,FLSITUACAO,FLSIGILOSO,FLPERMITERECUSA,FLBLOQUEIATRAMI,CDORGAOORIGEM,CDORGAOTRAMI
2014,0,2,L,,,,,,,N,S,0,1,3
2012,1,4,F,,,,,S,A,N,S,0,154,1
2012,0,2,C,,,,,,,N,S,0,7,3
2012,1,3,F,,,,,S,E,N,S,0,1069,1077
2012,0,3,L,,,,,,,N,S,0,1089,50
2012,0,2,L,,,,,,,N,S,0,8,2808
2014,1,1,F,4,,,,S,A,N,,0,,7
2012,1,30,F,4,,,,S,Q,N,S,0,51,5901
2012,1,8,F,4,,,,S,A,N,S,0,1082,51
2012,1,8,F,4,,,,S,Q,N,S,0,1875,1
2012,1,4,F,4,,,,S,A,N,S,0,1875,1
2012,1,3,F,,,,,S,E,N,S,0,772,1034
2012,1,2,F,4,,,,S,A,N,S,0,1099,2008
2012,1,3,F,,,,,S,E,N,S,0,1069,1082
2008,2,16,F,4,,,,N,A,N,S,0,2002,51
2012,0,5,C,,,,,,,N,S,0,7,1539
2012,1,23,F,4,,,,S,A,N,S,0,1537,1996
2012,1,3,F,4,,,,S,A,N,S,0,1539,7
2012,1,37,F,4,,,,S,Q,N,S,0,51,5901
2012,1,3,F,,,,,S,A,N,S,0,1069,1099
2012,1,1,F,,,,,S,E,N,,0,,1
2015,0,4,C,,,,,,,N,S,0,7,5287
2012,1,2,F,,,,,S,E,N,S,0,1069,1077
2012,1,2,F,4,,,,S,A,N,S,0,1069,1786
2011,1,3,F,4,,,,S,A,N,S,0,52,7
2011,1,28,F,4,,,,N,Q,N,S,0,633,51
2011,1,7,F,4,,,,S,A,N,S,0,1539,7
2012,1,6,F,,,,,S,E,N,S,0,7,51
2011,1,59,F,4,,,,N,Q,N,S,0,51,2002
2011,1,4,F,4,,,,S,A,N,S,0,633,2002
2012,0,2,L,,,,,,,N,S,0,1069,87
2013,0,2,C,,,,,,,N,S,0,1537,1875
2017,1,10,F,4,,,,S,A,N,S,0,633,50
2012,1,3,F,,,,,S,E,N,S,0,1539,1876
2012,0,4,L,,,,,,,N,S,0,772,1032
2013,1,4,F,,,,,S,E,N,S,0,7,5221
2011,1,10,F,4,,,,S,A,N,S,0,51,2002
2011,1,1,F,,,N,N,S,Q,N,S,0,,7
2011,1,4,F,4,,,,S,A,N,S,0,10,51
2013,1,6,F,4,,,,S,A,N,S,0,633,2004
2011,1,6,F,4,,,,S,A,N,S,0,7,50
2015,1,16,F,4,,,,S,Q,N,S,0,1006,5901
2013,0,4,L,,,,,,,N,S,0,7,7
2015,0,4,L,,,,,,,N,S,0,2004,7
2012,0,8,L,,,,,,,N,S,0,51,1791
2012,0,3,C,,,,,,,N,S,0,1537,1
2012,0,3,L,4,,,,,,N,S,0,1539,1
2012,1,15,F,,,,,S,A,N,S,0,2002,51
2015,0,2,C,,,,,,,N,S,0,7,4908
2011,1,3,F,4,,,,S,A,N,S,0,2008,27
2012,1,9,F,,,,,S,E,N,S,0,7,1788
2012,0,2,C,,,,,,,N,S,0,1069,17
2014,1,3,F,4,,,,S,A,N,S,0,27,2008
2014,1,7,F,4,,,,S,A,N,S,0,27,2008
2014,1,9,F,4,,,,S,Q,N,S,0,92,93
2013,0,54,L,,,,,,,N,S,0,2014,2002
2013,1,9,F,4,,,,S,A,N,S,0,2,93
2013,1,40,F,4,,,,S,Q,N,S,0,633,2002
2013,0,9,L,,,,,,,N,S,0,27,50
2011,1,10,F,4,,,,S,A,N,S,0,1,608
2012,0,2,L,,,,,,,N,S,0,1069,3888
2011,1,2,F,4,,,,S,A,N,S,0,7,1662
2014,0,3,L,,,,,,,N,S,0,83,7
2014,1,7,F,4,,,,S,A,N,S,0,5901,93
2014,1,2,F,4,,,,S,A,N,S,0,1,432
2013,1,4,F,4,,,,S,A,N,S,0,1,379
2012,0,4,L,,,,,,,N,S,0,7,1006
2012,1,5,F,,,,,S,E,N,S,0,7,498
2015,0,2,C,,,,,,,N,S,0,7,461
2013,0,3,L,,,,,,,N,S,0,7,62
2012,1,3,F,4,,,,S,A,N,S,0,1996,1
2012,0,4,C,,,,,,,N,S,0,7,1
2012,0,11,C,,,,,,,N,S,0,633,51
2012,1,4,F,4,,,,S,A,N,S,0,7,53
2015,0,16,L,,,,,,,N,S,0,53,93
2014,1,4,F,4,,,,S,A,N,S,0,7,230
2015,0,2,C,,,,,,,N,S,0,1,2
2012,1,4,F,,,,,S,R,N,S,0,1996,608
2013,0,2,L,,,,,,,N,S,0,50,7
2013,0,3,L,,,,,,,N,S,0,7,1539
2012,1,5,F,4,,,,S,A,N,S,0,1,51
2012,1,6,F,4,,,,S,A,N,S,0,633,1791
2012,0,3,L,4,,,,,,N,S,0,51,10
2011,1,11,F,,,,,S,E,N,S,0,7,1875
2012,0,2,L,4,,,,,,N,S,0,7,1006
2014,1,6,F,4,,,,S,A,N,S,0,27,50
2014,1,10,F,,,,,S,E,N,S,0,2008,2004
2012,0,13,L,,,,,,,N,S,0,2002,51
2012,0,57,L,,,,,,,N,S,0,51,5901
2011,1,344,F,4,,,,N,Q,N,S,0,51,2002
2013,0,3,L,,,,,,,N,S,0,2016,10
2013,1,8,F,4,,,,S,A,N,S,0,7,1537
2013,1,6,F,,,,,S,Q,N,S,0,50,7
2012,0,3,L,4,,,,,,N,S,0,1089,1069
2011,1,86,F,,,,,N,R,N,S,0,2014,2002
2012,0,2,L,,,,,,,N,S,0,7,3
2011,1,8,F,,,,,S,E,N,S,0,7,52
2011,1,5,F,,,,,S,A,N,S,0,1,1
2012,0,2,L,,,,,,,N,S,0,1,61
2014,1,9,F,4,,,,S,A,N,S,0,1537,2002
2013,0,3,L,4,,,,,,N,S,0,51,10
2012,1,97,F,4,,,,N,A,N,S,0,51,5901
2012,1,137,F,4,,,,N,A,N,S,0,51,5901
2012,0,9,L,,,,,,,N,S,0,1,1539
2013,0,2,C,,,,,,,N,S,0,1,1308
2015,0,18,L,,,,,,,N,S,0,2,5901
2015,0,2,L,,,,,,,N,S,0,7,61
2012,1,675,F,,,,,N,R,N,S,0,5901,2002
2013,0,2,C,,,,,,,N,S,0,7,33
2012,0,5,C,,,,,,,N,S,0,1,1539
2014,1,7,F,,,,,S,A,N,S,0,7,2006
2015,0,2,L,,,,,,,N,S,0,201,83
2014,0,2,C,,,,,,,N,S,0,7,5287
2013,1,2,F,4,,,,S,A,N,S,0,1,748
2013,0,64,L,,,,,,,N,S,0,51,7
2013,0,12,L,,,,,,,N,S,0,2008,2004
2013,1,5,F,4,,,,S,Q,N,S,0,7,2008
2014,1,7,F,,,,,S,E,N,S,0,1,1875
2013,1,5,F,4,,,,S,A,N,S,0,7,1
2012,0,8,C,,,,,,,N,S,0,1539,7
2013,0,7,L,,,,,,,N,S,0,7,1
2013,0,2,L,4,,,,,,N,S,0,7,1986
2015,0,12,L,,,,,,,N,S,0,32,1537
2015,0,2,L,,,,,,,N,S,0,7,93
2013,1,2,F,4,,,,S,A,N,S,0,7,27
2012,1,8,F,4,,,,S,A,N,S,0,433,1
2015,1,2,F,,,,,S,E,N,S,0,1,1875
2012,1,5,F,4,,,,S,A,N,S,0,51,53
2012,0,4,C,4,,,,,,N,S,0,1875,1
2012,0,4,L,,,,,,,N,S,0,1069,1786
2012,1,7,F,4,,,,S,R,N,S,0,1788,7
2013,0,2,L,,,,,,,N,S,0,2008,7
2013,1,5,F,4,,,,S,Q,N,S,0,1,1537
2012,0,4,L,,,,,,,N,S,0,90,2006
2012,1,10,F,4,,,,S,A,N,S,0,1017,1
2012,0,8,L,,,,,,,N,S,0,50,27
2012,1,5,F,4,,,,S,A,N,S,0,51,1986
2012,1,6,F,4,,,,S,A,N,S,0,3,7
2012,2,77,F,,,,,S,R,N,S,0,633,2002
2012,1,4,F,4,,,,S,A,N,S,0,1976,8
2013,0,4,L,,,,,,,N,S,0,1,1537
2013,0,3,L,4,,,,,,N,S,0,1537,1
2012,1,2,D,4,,,,S,A,N,S,0,7,1698
2013,1,9,F,4,,,,S,A,N,S,0,27,50
2013,0,3,L,4,,,,,,N,S,0,27,50
2013,0,3,L,4,,,,,,N,S,0,7,27
2013,1,244,F,4,,,,N,A,N,S,0,633,2002
2013,1,8,F,,,,,S,A,N,S,0,1,7
2009,2,139,F,4,,,,N,Q,N,S,0,6065,2002
2013,1,3,F,4,,,,S,A,N,S,0,1539,61
2007,1,15,F,,,,,N,E,N,S,0,633,2002
2013,0,93,L,,,,,,,N,S,0,51,5901
2013,0,3,L,4,,,,,,N,S,0,10,2018
2013,0,3,C,,,,,,,N,S,0,60,1
2013,1,17,F,,,,,S,Q,N,S,0,51,5901
2013,1,3,F,4,,,,S,A,N,S,0,,1
2013,0,4,L,,,,,,,N,S,0,1,27
2013,0,18,L,,,,,,,N,S,0,5902,51
2013,1,5,F,,,,,S,E,N,S,0,7,1562
2013,1,4,F,4,,,,S,A,N,S,0,1539,7
2013,1,7,F,,,,,S,E,N,S,0,1,2002
2013,0,2,L,4,,,,,,N,S,0,7,53
2013,0,2,C,,,,,,,N,S,0,7,187
2013,1,23,F,,,,,S,E,N,S,0,2008,2002
2013,0,6,L,,,,,,,N,S,0,53,7
2013,1,11,F,4,,,,S,A,N,S,0,10,2002
2013,0,17,L,,,,,,,N,S,0,1793,50
2013,1,12,F,4,,,,S,A,N,S,0,53,93
2013,0,3,C,,,,,,,N,S,0,53,93
2010,2,46,F,4,,,,S,Q,N,S,0,2002,51
2013,0,3,L,,,,,,,N,S,0,50,27
2013,0,12,L,,,,,,,N,S,0,27,2008
2012,1,237,F,4,,,,N,Q,N,S,0,633,2002
2012,1,6,F,,,,,S,E,N,S,0,1,2002
2013,0,7,L,,,,,,,N,S,0,53,7
2012,0,18,L,,,,,,,N,S,0,2002,2002
2012,1,7,F,4,,,,S,A,N,S,0,7,456
2013,1,25,F,4,,,,S,A,N,S,0,633,51
2013,1,5,F,,,,,S,E,N,S,0,52,5287
2013,0,5,C,,,,,,,N,S,0,7,1
2013,0,7,C,,,,,,,N,S,0,1537,51
2013,0,5,L,4,,,,,,N,S,0,1875,1
2013,0,11,C,,,,,,,N,S,0,1,7
2013,1,7,F,4,,,,S,Q,N,S,0,1875,1
2013,0,74,L,,,,,,,N,S,0,633,2002
2013,1,20,F,4,,,,S,Q,N,S,0,633,1791
2013,1,13,F,4,,,,S,Q,N,S,0,633,1791
2013,1,2,F,,,,,S,E,N,S,0,7,1539
2013,0,4,C,,,,,,,N,S,0,1,435
2013,1,24,F,4,,,,S,Q,N,S,0,27,50
2013,0,3,L,4,,,,,,N,S,0,51,2002
2013,0,3,L,,,,,,,N,S,0,1539,1881
2013,1,161,F,4,,,,N,Q,N,S,0,5901,51
2013,0,3,L,,,,,,,N,S,0,27,2012
2012,1,8,F,,,,,S,E,N,S,0,27,50
2013,1,5,F,4,,,,S,A,N,S,0,213,1539
2013,0,2,L,,,,,,,N,S,0,1,2002
2013,1,2,F,4,,,,S,A,N,S,0,1,59
2013,1,12,F,,,,,S,A,N,S,0,27,50
2013,1,8,F,4,,,,S,Q,N,S,0,10,10
2013,1,2,F,,,,,S,E,N,S,0,1,2
2012,1,4,F,,,,,S,E,N,S,0,8,9
2013,0,3,L,4,,,,,,N,S,0,7,52
2013,1,2,F,4,,,,S,A,N,S,0,7,10
2013,1,10,F,,,,,S,R,N,S,0,7,2004
2012,1,3,F,,,,,S,E,N,S,0,1069,5196
2012,1,1,D,4,,S,,S,Q,N,,0,,7
2012,0,20,L,,,,,,,N,S,0,633,1996
2013,1,23,F,4,,,,S,A,N,S,0,633,51
2013,0,2,L,,,,,,,N,S,0,1,163
2013,0,12,L,,,,,,,N,S,0,633,1791
2013,1,22,F,4,,,,S,Q,N,S,0,10,10
2012,0,23,L,,,,,,,N,S,0,27,50
2012,0,6,L,,,,,,,N,S,0,50,27
2013,1,14,F,4,,,,S,A,N,S,0,2008,2002
2012,0,2,C,,,,,,,N,S,0,1,60
2013,1,14,F,4,,,,S,Q,N,S,0,10,10
2013,0,3,L,,,,,,,N,S,0,2022,50
2013,0,2,L,,,,,,,N,S,0,1,432
2013,0,5,L,4,,,,,,N,S,0,27,7
2013,0,3,L,,,,,,,N,S,0,50,1875
2013,0,30,L,,,,,,,N,S,0,201,7
2013,1,5,F,4,,,,S,Q,N,S,0,27,2008
2013,0,2,L,,,,,,,N,S,0,1,62
2013,1,1,F,4,,,,S,Q,N,,0,,2008
2013,1,2,F,4,,,,S,A,N,S,0,7,405
2013,1,13,F,4,,,,S,A,N,S,0,27,50
2013,1,5,F,4,,,,S,A,N,S,0,51,1006
2013,1,17,F,4,,,,S,A,N,S,0,27,10
2013,1,5,F,4,,,,S,A,N,S,0,10,3
2013,1,18,F,4,,,,S,Q,N,S,0,7,27
2013,1,58,F,4,,,,S,A,N,S,0,633,2002
2013,0,4,L,,,,,,,N,S,0,93,1786
2013,1,9,F,,,,,S,E,N,S,0,2008,2004
2013,1,10,F,4,,,,S,A,N,S,0,633,2008
