NUANO,FLTIPOPROCESSO,NUTRAMITE,CDASSUNTO,CDTIPOPARECER,CDSETORRESP,CDSETORABERTURA,CDSETORAUTUACAO,CDTIPOPROCESSO,CDUSUARIO,CDSETORORIGEM,CDSETORDESTINO
2018,F,3,89,1,50,7,352,1,LJACQUES,50,53
2018,F,8,80,1,1,7,7,1,LJACQUES,50,53
2018,F,7,80,1,1,7,7,1,ISRICARTE,2012,50
2018,F,10,80,1,1,7,7,1,AHSANTOS,1537,7
2018,F,12,80,1,1,7,7,1,ILIMA,53,50
2018,F,7,10,1,50,7,2004,1,LJACQUES,2004,50
2018,F,5,89,1,7,7,7,1,LJACQUES,50,633
2018,F,7,89,1,7,7,7,1,TMBATISTA,50,2012
2018,F,6,16,1,6029,7,7,1,SRPATRICIO,7,50
2018,F,6,6,1,2010,2010,2010,1,ISRICARTE,10,2012
2018,F,5,4,1,50,50,7,1,JSOUZA,7,7
2018,F,6,17,1,2006,2006,2006,1,AACASTRO,2004,2006
2018,F,3,101,1,10,10,10,1,PMFINARDI,5893,10
2018,F,5,91,,35,2002,35,1,NELIZA,6027,2002
2018,F,6,6,,2010,2010,2010,1,MMDASILVA,2010,2004
2018,F,5,6,1,2010,2010,2010,1,ISRICARTE,2012,2010
2018,F,4,6,1,2010,2010,2010,1,DDURIEUX,2010,2012
2018,F,8,80,1,1,7,7,1,AHSANTOS,1537,83
2018,F,5,29,1,1791,1791,192,1,VAGUIAR,1791,633
2018,F,11,91,1,50,7,2004,1,SDMARCOS,633,50
2018,F,10,91,1,50,7,2004,1,LJACQUES,50,633
2018,F,5,91,1,50,7,2004,1,MMARTINS,7,50
2018,F,4,91,1,50,7,2004,1,VASILVA,2004,7
2018,F,20,4,1,6230,6230,6230,1,PPASSOLD,50,6230
2018,F,19,4,1,6230,6230,6230,1,SDMARCOS,633,50
2018,F,6,4,1,6230,6230,6230,1,LJACQUES,50,6230
2018,F,4,44,1,10,10,10,1,MGUEDES,10,7
2018,F,11,17,1,2006,2006,2006,1,JTRES,2006,2004
2018,F,12,17,,2006,2006,2006,1,TBMEDEIROS,2004,2006
2018,F,8,110,1,51,51,51,1,MCARVALHO,92,93
2018,F,4,7,1,2006,2006,83,1,JTRES,50,2006
2018,F,7,7,4,2006,2006,83,1,JTRES,2006,2004
2018,F,54,110,,51,51,51,1,YCOSTA,5895,5901
2018,F,39,110,1,51,51,51,1,YCOSTA,51,5901
2018,F,53,110,1,51,51,51,1,MCARVALHO,92,5895
2018,F,30,110,1,51,51,51,1,ESARMENTO,92,51
2018,F,4,110,1,51,51,51,1,GERSON,51,7
2018,F,3,7,4,10,10,10,1,VAMARAL,2018,10
2018,F,5,110,1,51,2002,2002,1,DORIS,51,2002
2018,F,18,110,,51,51,51,1,HVMAZZOLA,51,5895
2018,F,10,110,1,51,51,51,1,FPGCOSTA,51,7
2018,F,2,7,,10,10,10,1,LFUHR,10,5893
2018,F,7,10,,2004,2004,2004,1,LJACQUES,50,2004
2018,F,5,80,1,6080,7,6080,1,MAZEVEDO,5932,1
2018,F,4,80,1,1537,7,7,1,MMANDRADE,7,1788
2018,F,8,79,1,1537,7,1537,1,LCLAGO,2002,1537
2018,F,5,79,1,1537,7,1537,1,NELIZA,1537,6027
2018,F,10,110,4,51,51,51,1,MCARVALHO,92,5901
2018,F,2,101,1,7,7,10,1,MMANDRADE,7,10
2018,F,3,101,1,7,7,10,1,LFUHR,10,2018
2018,F,5,101,,7,7,10,1,MGUEDES,10,2018
2018,F,3,16,1,50,7,7,1,MMANDRADE,7,6029
2018,F,4,16,1,50,7,7,1,APPEREIRA,6029,50
2018,F,13,10,1,50,7,2004,1,SDMARCOS,633,50
2018,F,10,10,1,50,7,2004,1,DDURIEUX,2010,2004
2018,F,3,4,1,7,7,50,1,LJACQUES,50,7
2018,F,12,17,,2006,2006,924,1,SAKOERICH,2004,2006
2018,F,6,17,1,2006,2006,924,1,VASILVA,2004,2006
2018,F,9,89,4,50,7,1928,1,MCARVALHO,53,2012
2018,F,5,110,1,51,51,51,1,NELIZA,7,5895
2018,F,3,23,,2004,2004,2004,1,BCCORTES,2012,2004
2018,F,3,6,1,53,50,6230,1,APPEREIRA,6029,7
2018,F,13,44,,1996,1996,1996,1,PREMOR,6080,1996
2018,F,8,6,,2010,2010,2010,1,ISRICARTE,2012,2010
2018,F,4,101,,1,7,10,1,PREMOR,6080,10
2018,F,5,13,1,50,7,7,1,APPEREIRA,6029,2010
2018,F,5,7,1,10,10,7,1,MROSA,53,50
2018,F,16,7,1,10,10,7,1,LJACQUES,50,7
2018,F,6,7,1,10,10,7,1,PPASSOLD,50,2012
2018,F,9,7,1,10,10,7,1,ILIMA,53,1
2018,F,3,39,4,1539,7,769,1,SRPATRICIO,1539,7
2018,F,2,39,1,1539,7,455,1,SRPATRICIO,7,1539
2018,F,3,80,1,7,7,7,1,NELIZA,7,7
2018,F,2,28,,93,93,93,1,LDECKER,93,633
2018,F,6,44,1,10,10,10,1,NELIZA,1537,10
2018,F,4,44,1,10,10,10,1,VAMARAL,10,7
2018,F,9,80,1,50,7,2006,1,MMARTINS,50,2006
2018,F,11,80,1,50,7,2006,1,LJACQUES,50,7
2018,F,12,7,1,10,10,10,1,RKRAUS,2012,10
2018,F,4,7,1,10,10,10,1,MMANDRADE,7,1
2018,F,3,7,1,10,10,10,1,MMANDRADE,1,7
2018,F,11,23,1,6227,2004,6227,1,AHSANTOS,1537,2004
2018,F,19,23,,6227,2004,6227,1,AHSANTOS,1537,2004
2018,F,13,23,1,6227,2004,6227,1,VASILVA,2004,10
2018,F,9,23,1,6227,2004,6227,1,LJACQUES,50,1537
2018,F,2,80,,1,7,7,1,JSOUZA,7,2290
2018,F,4,78,1,1,7,6080,1,VAMARAL,10,6080
2018,F,6,10,1,50,7,2004,1,MMARTINS,50,2004
2018,F,3,80,4,1,7,6080,1,DASILVA,1,6080
2018,F,3,101,4,1,7,6080,1,DASILVA,1,6080
2018,F,3,23,,2004,2004,2004,1,RKRAUS,2012,2004
2018,F,25,110,,51,51,51,1,MMANDRADE,7,5895
2018,F,34,110,1,51,51,51,1,MCARVALHO,92,5901
2018,F,5,110,1,51,51,51,1,AHSANTOS,7,51
2018,F,3,44,,10,10,10,1,KCIPRIANI,2018,10
2018,F,3,20,1,50,7,2004,1,MMARTINS,50,2004
2018,F,2,80,,1,7,10,1,JSOUZA,7,10
2018,F,6,110,4,51,51,51,1,GJMOZZER,5901,93
2018,F,4,110,1,51,51,51,1,TLSANTOS,5901,92
2018,F,5,110,1,51,51,51,1,MCARVALHO,92,5901
2018,F,4,110,1,51,51,51,1,SFPEREIRA,51,5901
2018,F,6,70,1,7,7,7,1,MMANDRADE,6220,7
2018,F,5,109,1,50,7,1537,1,RKRAUS,2012,50
2018,F,6,109,1,50,7,1537,1,EKZAPPELINI,50,53
2018,F,13,4,4,6230,50,6230,1,WBALSAMO,6230,2004
2018,F,5,4,1,6230,50,6230,1,LJACQUES,50,2004
2018,F,6,4,1,6230,50,6230,1,AACASTRO,2004,50
