@relation 'tramitacoes2018_2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2,4,7-8'

@attribute CDASSUNTO {1,2,3,4,5,6,7,9,10,11,13,14,15,16,17,19,20,21,22,23,24,25,26,28,29,30,32,38,39,41,44,49,70,71,73,74,75,77,78,79,80,83,89,91,92,93,94,96,97,98,99,100,101,102,103,105,106,107,108,109,110,111,112,114,115}
@attribute CDSETORRESP {1,2,7,8,10,20,27,32,33,35,39,47,50,51,52,53,60,62,83,90,92,93,141,151,213,229,259,277,284,285,305,348,364,450,756,1006,1078,1103,1286,1308,1397,1417,1537,1538,1539,1540,1541,1575,1786,1788,1791,1793,1844,1875,1876,1881,1978,1996,2002,2004,2006,2008,2010,2012,2014,5743,5885,5930,5982,5994,6027,6028,6029,6080,6083,6097,6211,6214,6215,6216,6221,6224,6227,6230}
@attribute CDSETORABERTURA {3,7,10,27,32,33,50,51,53,60,73,83,84,87,90,92,93,234,613,718,769,775,778,782,990,992,993,997,1006,1026,1061,1065,1072,1095,1205,1235,1249,1561,1786,1788,1791,1793,1835,1844,1875,1996,2002,2004,2005,2006,2007,2008,2010,2012,2014,2018,2128,5893,5895,5898,5899,5902,6064,6074,6080,6128,6205,6211,6214,6215,6216,6217,6218,6220,6221,6222,6230}
@attribute CDUSUARIO {AACASTRO,VASILVA,MCARVALHO,ACFREITAS,GERSON,VVCOSTA,ISRICARTE,REBSOUZA,FGCRUZ,PVCOSTA,MMANDRADE,SRPATRICIO,MWENTZ,CDSILVA,DDURIEUX,LJACQUES,CFSILVA,MTRICHARTZ,DORIS,JSOUZA,PPASSOLD,EKZAPPELINI,BVIEIRA,AHSANTOS,LCAVALLERI,ACRESPALDI,WBALSAMO,BBRIBEIRO,FPGCOSTA,EDORIGATTI,MTCESCONETO,ESARMENTO,NELIZA,PREMOR,HVMAZZOLA,BBROGNOLI,VOLIVEIRA,VAMARAL,LCSMACHADO,SDCARDOSO,JTRES,RMARTENDAL,CRODRIGUES,SMITHOMAZ,MMDASILVA,NRFERNANDES,DROGLIO,EMMFILHO,RCAVANHOLI,MIPZIMMERMANN,RRZDASILVA,TMBATISTA,SDMARCOS,MGUEDES,LFUHR,APPEREIRA,YCOSTA,ILIMA,PMFINARDI,VAGUIAR,MMARTINS,TBMEDEIROS,MAZEVEDO,LCLAGO,SAKOERICH,BCCORTES,MROSA,LDECKER,RKRAUS,DASILVA,KCIPRIANI,GJMOZZER,TLSANTOS,SFPEREIRA,BLEIRIA,KSANHAIA,VASMAFIOLETTI,RFERNANDES,SFLUZ,FEMSANTOS,YFERREIRA,LRGREGORIO,ACERVI,OBOING,ALIGARAUJO,LMDSANTOS,MVALERIO,GNDASILVA,MSCOSTA,LAVILLA,AMKOCH,FCOLLET,TRAMIRES,CLCCOSTA,IMCKOCHE,SLKRAESKI,ABSSOUZA,BFGONZAGA,MHULLER,LHSAAR,VPARGENDLER,EZANFERRARI,AVPEREIRA,TRECH,LEMPEREIRA,NMGODINHO,FLISBOA,SGA,TCRAIMUNDO,RGPINHEIRO,FREGIS,SRIGOTTI,LMSANTOS,JMMZEFERINO,ISA,HMARTINELLI,JMBARRETO,TCAPISTRANO,AGARAUJO,FBRITO,SSAMORIM,SKOCH,JBOMBASAR,LBUSS,JCCONRADO,RSCHIEFLER,FGREGUI,DCHEINECK,CSILVANO,LFROSA,MSARTOR,RELUZ,ENBRAS,WDACPARRELLA,RDAROS,TGBETIO,VRCASTRO,SELIAS,AMOLIVEIRA,JFONTOURA,MBATTIATO,MMONGUILHOTT,GMERIZE,ISILVEIRA,AVOLIVEIRA,FLCHAVES,FCOMIN,ISNUNES,MFTONINI,MGHENRIQUE,RCARLESSO,JJESKE,BSCUNHA,TBOSCHINI,SAMSILVA,MLIMA,SSIPRIANO,DBRISTOT,BNOSOL,SNORONHA,MCONCEICAO,RSDEMELO,RRAMOS,RGRUMICHE,RZEFERINO,LHNUNES,GDDASILVA,GCORREGGIO,JAPARECIDA,IAFACINI,PWBRAMONT,GFRANZONI,RPTDAVILA,FWESTPHAL,EAFORTES,RAOLIVEIRA,JOFERNANDES,FCORAL,LFIGUEIRO,FKSOUZA,CSMATOS,RSEIFFERT,VACSOUZA,FISILVA,SZALVES,JROMAN,LHTHIESEN,MWALETE,PRSOUZA,AGSILVEIRA,MAYRAS,KPRIM,CSILVEIRA,IZAFFONATO,AAALMEIDA,MCOLSEN,PSSILVEIRA,JMENDES,BCOLPANI,GMAY,AWILBERT,JROSARIO,RMARIA,PALLEBRANDT,MCVIEIRA,HCOUTINHO,SSCOUTINHO,LLSILVA,KASSUNCAO,MLSERPA,FADESDACUNHA,APISANI,TRROCHA,DSEEMANN,MGSILVA,GLDAROS,RRMORAES,EBIAZIN,MRROSA,TDASILVEIRA,SPIRES,JCOMIM,JANAINA,MGATELLI,LPASCOAL,FRRODRIGUES,AASILVA,AJUMES,CSOLIVEIRA,DBERGMANN,RNSTIPP,ALONGO,MDACOREGGIO,JPERING,CHRISTIAN,RDEVANGELISTA,NLORENZ,DCUNHA,JSBVILAIN,MMVALE,TGBARROS,RHSOUZA,CAMILADEOLIVEIRA,MGROSSL,LMARTINS,MMBERNARDINO,CRSANTOS,EVIECELI,CESTEIL,JACOSTA,GSILVEIRA,GMROSA,LVIEIRA,LKEMPNER,MWINTER,CVICENTE,IANNES,ADRIANO,OZANCHI,ROPIRES,AGRAZIOTIN,EGOULART,OCIOFFI,CBOSCHETTO,SOBIERAJSKI,CSIQUEIRA,JMORIGUTI,JBOTEGA,RHOFFMANN,AFERRAZ,EMENDES,TDDESOUZA,LMIGUEL,JKSILVA,LRDUARTE}
@attribute CDSETORORIGEM {1,2,3,4,7,10,27,32,33,35,50,51,52,53,59,60,61,62,73,83,84,87,90,92,93,225,234,238,310,429,459,498,589,613,633,718,748,769,775,776,778,782,789,790,862,990,992,993,994,997,1006,1017,1026,1061,1065,1072,1095,1205,1235,1249,1308,1519,1537,1539,1561,1786,1788,1791,1793,1804,1835,1844,1849,1875,1876,1978,1987,1996,2000,2002,2004,2005,2006,2007,2008,2010,2012,2014,2018,2127,2128,4732,5221,5893,5895,5898,5899,5901,5902,5932,5944,5957,5984,6020,6027,6029,6064,6065,6074,6080,6128,6205,6211,6213,6214,6215,6216,6217,6218,6220,6221,6222,6229,6230}
@attribute CDSETORDESTINO {1,2,3,4,7,10,27,32,33,35,50,51,52,53,59,60,61,62,83,84,87,90,92,93,225,230,238,310,429,431,436,459,498,524,589,613,633,748,775,776,778,782,789,790,862,994,997,1006,1017,1308,1519,1537,1539,1562,1786,1788,1791,1793,1804,1835,1844,1849,1875,1876,1881,1978,1987,1996,2000,2002,2004,2006,2008,2010,2012,2014,2018,2127,2128,2290,4732,5221,5287,5307,5893,5895,5899,5901,5902,5932,5944,5953,5957,5984,5986,6020,6027,6029,6062,6065,6080,6089,6103,6121,6211,6213,6214,6215,6216,6217,6218,6220,6221,6222,6229,6230}

@data
39,7,7,NELIZA,7,1539
89,53,50,LJACQUES,50,633
89,53,50,MTCESCONETO,633,50
89,53,50,LJACQUES,50,633
6,50,7,MMANDRADE,7,50
110,51,51,MSCOSTA,5895,7
110,51,51,FCOLLET,790,5984
110,51,51,MSCOSTA,5895,790
110,51,51,GERSON,51,7
110,51,51,MSCOSTA,5895,51
110,51,51,ILIMA,53,51
3,6029,7,APPEREIRA,6029,50
110,51,51,MCVIEIRA,3,5895
6,2010,2010,MMDASILVA,2010,2012
97,1788,51,BBROGNOLI,5901,1788
97,1788,51,JCCONRADO,5901,51
97,1788,51,AMKOCH,5901,92
110,51,51,FPGCOSTA,51,7
17,50,7,LJACQUES,50,2004
7,50,7,VASILVA,50,2004
89,50,7,ISRICARTE,2012,53
89,50,7,MMANDRADE,7,50
89,50,7,WBALSAMO,6230,50
89,50,7,LJACQUES,50,2012
89,50,7,APPEREIRA,6029,7
97,6216,51,MCARVALHO,92,2002
3,1,7,APPEREIRA,6029,50
29,1791,7,MMANDRADE,7,7
29,1791,7,MMANDRADE,7,1791
29,1791,7,VAGUIAR,1791,7
29,1791,7,JSOUZA,7,1791
10,7,7,LJACQUES,50,7
10,7,7,MMARTINS,50,2006
1,50,7,MMANDRADE,7,7
89,50,7,MVALERIO,50,2012
89,50,7,SDMARCOS,633,50
89,6230,50,LJACQUES,50,2012
7,6029,7,MMANDRADE,6029,7
80,7,7,MMANDRADE,6214,7
10,50,7,DDURIEUX,2010,2004
16,50,7,APPEREIRA,6029,50
17,2006,2006,SAKOERICH,2004,2006
17,2006,2006,JSOUZA,7,50
19,6029,7,LJACQUES,50,2004
19,6029,7,ALIGARAUJO,6029,50
29,1791,1791,NELIZA,7,6027
29,1791,1791,SRPATRICIO,7,6027
29,1791,1791,OBOING,1791,633
29,1791,1791,SRPATRICIO,7,7
110,51,2002,GERSON,51,5901
110,51,2002,DASILVA,1537,6027
110,51,2002,EDORIGATTI,2002,51
96,1791,1791,MMANDRADE,7,1791
110,51,51,FPGCOSTA,51,7
16,50,7,ALIGARAUJO,6029,50
110,51,51,AHSANTOS,1537,2002
110,51,1996,BVIEIRA,6080,1996
16,50,7,MMANDRADE,7,7
10,50,7,LJACQUES,50,2004
89,50,7,MMANDRADE,7,50
91,1978,2002,MMANDRADE,7,2002
91,1978,2002,BBRIBEIRO,2002,51
23,6227,2004,NELIZA,7,50
101,1,7,DASILVA,1,6080
97,1788,51,MCARVALHO,92,2002
89,50,7,MROSA,53,7
89,50,7,LJACQUES,50,2012
17,2006,2006,FEMSANTOS,2004,2006
7,50,7,RKRAUS,2012,50
80,1537,7,YCOSTA,51,2002
80,1537,7,LEMPEREIRA,1788,1537
6,2010,7,DDURIEUX,2010,7
6,2010,7,SRPATRICIO,7,6029
10,50,7,SDMARCOS,633,50
39,1539,7,SRPATRICIO,1539,7
16,50,7,TBMEDEIROS,2004,50
97,6216,51,BBROGNOLI,92,5901
97,6216,51,PVCOSTA,1006,51
7,7,50,SRPATRICIO,7,10
89,1537,7,PPASSOLD,50,2012
20,50,7,TMBATISTA,50,2004
89,50,7,LJACQUES,50,2012
89,50,7,APPEREIRA,6029,7
80,1,7,DASILVA,1,7
97,6216,51,MCARVALHO,53,5901
10,7,7,VASILVA,2012,2004
39,1539,7,JSOUZA,6029,7
89,50,7,MCARVALHO,53,2012
89,50,7,CLCCOSTA,2012,53
7,2006,2006,NELIZA,7,50
79,1537,7,FPGCOSTA,51,2002
94,7,7,MMDASILVA,2010,2012
94,7,7,LJACQUES,50,633
89,50,7,ISRICARTE,50,2012
80,50,7,NELIZA,7,5221
80,50,7,NELIZA,1539,7
15,2004,2004,ISRICARTE,2012,2004
110,51,51,LCLAGO,2002,1537
41,1,7,MAZEVEDO,6080,2
10,50,7,VASILVA,2004,2012
110,51,51,BBRIBEIRO,2002,1537
110,51,51,GERSON,51,2002
110,51,2002,MMANDRADE,1537,6027
110,51,2002,MCARVALHO,92,2002
110,51,2002,TRAMIRES,2002,1537
80,1,7,JSOUZA,7,6080
10,2004,2004,VASILVA,2004,50
39,1539,7,NELIZA,1539,7
10,2004,2004,VPARGENDLER,50,2004
10,2004,2004,LFROSA,633,50
7,10,7,NELIZA,7,10
39,1539,7,NELIZA,1539,7
89,50,7,ISRICARTE,2012,93
89,50,7,LJACQUES,50,53
89,50,7,SRPATRICIO,7,50
89,2012,6230,SRPATRICIO,7,7
89,50,7,CLCCOSTA,2012,93
89,50,7,JSOUZA,7,50
10,7,7,VASILVA,2004,50
109,7,7,MMANDRADE,7,1537
109,7,7,MMANDRADE,1,7
109,7,7,NELIZA,7,53
89,6029,7,MMANDRADE,1,7
89,6029,7,MROSA,53,7
89,6029,7,APPEREIRA,6029,7
89,6029,7,ILIMA,53,50
89,6029,7,JSOUZA,1,7
89,6029,7,RKRAUS,50,53
3,6029,7,ALIGARAUJO,6029,50
3,6029,7,LJACQUES,50,2004
110,51,51,GERSON,6020,225
89,2012,7,MROSA,53,92
89,2012,7,MCARVALHO,92,6029
89,2012,7,YFERREIRA,50,92
89,2012,7,MVALERIO,6230,50
80,1,7,MMANDRADE,7,50
80,1,7,MMANDRADE,7,1537
29,1791,7,MMANDRADE,7,7
89,50,7,MCARVALHO,92,2012
80,1537,7,YFERREIRA,50,2006
91,10,2002,LCLAGO,2002,1
44,1996,1996,NELIZA,1537,1996
44,1996,1996,MLIMA,1996,6080
89,50,7,MMANDRADE,7,50
7,10,10,VAMARAL,2018,1537
7,10,10,NELIZA,6027,10
7,10,10,JSOUZA,1537,10
7,10,10,LFUHR,10,1537
80,6080,6080,MAZEVEDO,6080,2
16,50,7,ALIGARAUJO,6029,53
79,1537,7,FPGCOSTA,51,2002
80,7,7,LJACQUES,50,2006
91,1,7,AMOLIVEIRA,2002,1
91,1,7,NELIZA,6027,2002
110,51,51,MCARVALHO,92,5901
110,51,51,MSCOSTA,5895,7
110,51,51,HVMAZZOLA,51,5895
110,51,51,MSCOSTA,5895,790
89,50,7,MMANDRADE,7,50
97,1788,51,NELIZA,1537,6027
97,1788,51,SFPEREIRA,51,2002
89,50,7,RKRAUS,50,53
89,50,7,MMANDRADE,7,50
23,6227,2004,VASILVA,50,2004
23,6227,2004,VASILVA,1017,2004
44,10,10,LFUHR,10,2018
44,10,10,MMANDRADE,7,7
110,51,51,MCARVALHO,92,5901
80,6080,7,MMANDRADE,7,6080
108,6230,50,MMANDRADE,7,50
110,51,51,NELIZA,1537,1
80,6080,6080,TGBETIO,6080,2
110,51,2002,NELIZA,1537,51
110,51,2002,AVPEREIRA,2002,1537
110,51,2002,TRECH,2002,1537
97,1788,51,BBRIBEIRO,2002,51
97,1788,51,BBRIBEIRO,2002,92
44,10,10,LFUHR,10,2018
44,10,10,VAMARAL,2018,10
89,50,7,WBALSAMO,6230,50
89,50,7,MMANDRADE,7,50
7,7,50,JSOUZA,1,7
89,50,7,LJACQUES,50,53
29,1791,1791,SRPATRICIO,7,7
80,7,7,MMANDRADE,7,1791
73,1996,1996,SRPATRICIO,1,1996
80,7,7,MMARTINS,50,7
80,7,7,NELIZA,5957,7
3,50,7,APPEREIRA,6029,50
110,51,51,AMKOCH,5901,2002
20,50,7,MMANDRADE,7,53
20,50,7,JTRES,2006,50
89,50,7,MMARTINS,50,2012
94,7,7,LJACQUES,2004,50
10,50,7,LJACQUES,2004,50
7,6029,7,ALIGARAUJO,6029,7
7,6029,7,LJACQUES,50,2004
44,10,10,GNDASILVA,5893,10
7,10,10,EMMFILHO,92,5893
39,1539,7,NELIZA,7,1539
6,2010,2010,SDCARDOSO,2010,50
110,51,51,MSCOSTA,5895,7
110,51,51,MSCOSTA,5895,7
110,51,51,YCOSTA,51,5895
110,51,51,RZEFERINO,6214,6027
110,51,51,FPGCOSTA,51,2002
110,51,51,GERSON,51,5895
110,51,51,MMANDRADE,7,5895
80,6083,6080,MMANDRADE,2,7
4,6230,50,LJACQUES,50,633
4,6230,50,REBSOUZA,633,50
20,50,7,LJACQUES,50,7
20,50,7,JSOUZA,7,50
44,1996,1996,NELIZA,6080,1996
23,50,7,SDMARCOS,633,2012
23,50,7,SRPATRICIO,1537,50
23,50,7,LJACQUES,50,7
23,50,7,LJACQUES,50,633
89,7,7,ILIMA,53,7
89,7,7,SRPATRICIO,7,50
89,7,7,SFLUZ,7,6029
7,10,10,LJACQUES,50,10
29,7,7,MMANDRADE,7,1791
29,7,7,SRPATRICIO,7,1791
29,7,7,MTCESCONETO,633,1791
89,50,7,LJACQUES,50,2012
80,1537,7,AHSANTOS,1537,1
110,51,51,HVMAZZOLA,51,633
110,51,51,SRPATRICIO,6027,7
110,51,51,AHSANTOS,1537,51
110,51,51,ACFREITAS,5901,92
110,51,51,LRGREGORIO,51,1537
23,6227,2004,NELIZA,7,1537
23,6227,2004,LJACQUES,50,7
23,6227,2004,SAKOERICH,2004,50
23,6227,2004,VASILVA,2004,1017
97,6216,51,FPGCOSTA,51,1537
79,1537,7,NELIZA,7,1
44,10,10,VOLIVEIRA,2018,5893
80,1,7,DASILVA,1537,6080
20,2006,50,LJACQUES,50,2004
20,2006,50,JTRES,2006,2004
74,6230,50,MMANDRADE,50,7
3,7,7,MMANDRADE,7,7
3,7,7,NELIZA,7,50
110,51,51,MSCOSTA,5895,2002
110,51,51,ACFREITAS,5901,2002
110,51,51,CRODRIGUES,2002,5895
110,51,51,BLEIRIA,2002,92
1,50,7,ALIGARAUJO,6029,7
80,7,7,NELIZA,7,6027
7,7,7,VOLIVEIRA,2018,10
7,7,7,NELIZA,7,10
44,1996,1996,SKOCH,1996,6080
91,1,7,NELIZA,6027,2002
91,1,7,BBRIBEIRO,2002,61
97,1996,1996,SDMARCOS,633,1996
101,10,50,GNDASILVA,5893,10
23,6227,2004,NELIZA,7,1537
91,62,7,NELIZA,7,2002
96,1791,1791,MMANDRADE,7,7
96,1791,1791,REBSOUZA,633,1791
96,1791,1791,MMANDRADE,7,1791
97,1788,51,FPGCOSTA,51,2002
97,1788,51,TRAMIRES,2002,5901
10,50,7,LJACQUES,50,633
110,51,51,DORIS,51,5901
110,51,51,MCARVALHO,92,5901
110,51,51,HVMAZZOLA,51,5895
7,1,7,LJACQUES,50,2004
7,1,7,NELIZA,7,6029
101,10,10,SAMSILVA,10,5893
7,10,10,CLCCOSTA,2012,50
7,10,10,EAFORTES,10,633
17,2006,2006,LJACQUES,50,7
89,50,50,ISRICARTE,2012,50
89,50,50,LJACQUES,50,633
89,50,50,LJACQUES,50,53
89,50,50,REBSOUZA,633,50
10,1,2004,VASILVA,2004,50
10,1,2004,REBSOUZA,633,50
7,10,10,LJACQUES,50,2012
7,10,10,ISRICARTE,2012,50
3,50,7,APPEREIRA,6029,50
96,1791,1791,VAGUIAR,1791,7
20,7,7,SFLUZ,7,50
20,7,7,VASILVA,2004,2010
20,7,7,FEMSANTOS,2004,50
20,7,7,MTCESCONETO,633,50
97,6216,51,SLKRAESKI,92,2002
97,6216,51,BLEIRIA,2002,51
110,51,1996,JBOMBASAR,1996,633
110,51,1996,SRPATRICIO,1537,1996
110,51,1996,NELIZA,1,1996
70,1,7,MMANDRADE,1,7
70,1,7,NELIZA,7,6080
29,1791,1791,LAVILLA,6214,7
29,1791,1791,SDMARCOS,633,1791
29,1791,1791,MMANDRADE,7,6214
29,1791,1791,SRPATRICIO,7,7
10,50,2004,LJACQUES,50,2004
101,7,7,JSOUZA,33,7
89,6029,7,MCARVALHO,53,2012
89,6029,7,MMARTINS,50,2012
10,2004,2004,VPARGENDLER,50,2004
10,2004,2004,AACASTRO,2004,2012
89,2012,50,ILIMA,53,92
6,2010,2010,SAKOERICH,2010,2004
2,6230,6230,LJACQUES,50,7
2,6230,6230,MMANDRADE,7,50
44,10,10,GNDASILVA,5893,2018
44,10,10,GNDASILVA,5893,2018
3,6029,7,MMANDRADE,2,7
16,6029,7,KCIPRIANI,6029,50
6,2010,2010,MMDASILVA,2010,2012
7,50,50,LJACQUES,50,10
80,1537,7,NELIZA,7,2002
80,1537,7,AVPEREIRA,2002,1
89,50,7,LJACQUES,50,2012
89,50,7,NELIZA,7,50
110,51,51,PVCOSTA,1006,5901
15,50,7,LJACQUES,50,2004
3,50,7,APPEREIRA,6029,2
89,50,7,MMANDRADE,7,50
110,51,1996,ISILVEIRA,1996,53
80,7,7,BVIEIRA,6080,1
102,7,51,SRPATRICIO,7,7
110,51,51,MMANDRADE,1537,6027
110,51,51,SLKRAESKI,92,2002
110,51,51,NELIZA,1537,51
110,51,51,GERSON,51,5895
110,51,51,MSCOSTA,5895,1006
110,51,51,HCOUTINHO,1835,5895
110,51,51,MMANDRADE,7,5895
110,51,51,MSCOSTA,5895,790
110,51,51,AHSANTOS,1537,2002
110,51,51,MMANDRADE,7,5895
110,51,51,MSCOSTA,5895,2002
44,1996,1996,MMANDRADE,6027,1996
44,1996,1996,SKOCH,1996,1537
44,1996,1996,MWENTZ,1996,1
44,1996,1996,SKOCH,1996,1537
23,6227,2004,SAKOERICH,2004,50
23,6227,2004,MMANDRADE,7,6027
23,6227,2004,SAKOERICH,2004,50
23,6227,2004,SRPATRICIO,7,6027
23,6227,2004,SRPATRICIO,7,1537
23,6227,2004,NELIZA,7,6027
89,50,7,SRPATRICIO,7,50
80,1,7,LJACQUES,50,2012
17,2006,2006,JTRES,2006,50
17,2006,2006,JTRES,2006,50
17,2006,2006,LJACQUES,50,7
110,51,1996,MWENTZ,1996,6080
110,51,1996,NELIZA,1537,51
89,10,7,NELIZA,1537,7
2,6230,50,APPEREIRA,6029,7
2,6230,50,SRPATRICIO,7,6029
110,51,51,MSCOSTA,5895,51
110,51,51,JJESKE,1786,51
110,51,51,TRAMIRES,2002,92
110,51,51,FGREGUI,60,51
7,10,10,SSCOUTINHO,10,5893
20,50,7,VASILVA,2004,50
20,50,7,VASILVA,2004,50
20,50,7,REBSOUZA,633,50
44,10,10,BFGONZAGA,2018,10
102,7,51,MMANDRADE,7,7
44,1996,1996,BVIEIRA,6080,1996
97,1996,1996,MWENTZ,1996,6080
16,6029,7,PPASSOLD,50,2004
110,51,51,ACERVI,2002,1537
110,51,51,FPGCOSTA,51,5895
110,51,51,FPGCOSTA,51,7
110,51,51,GERSON,51,2002
110,51,51,SRIGOTTI,5895,1791
16,50,7,APPEREIRA,6029,50
17,2006,2006,TBMEDEIROS,2004,2006
10,50,7,FEMSANTOS,2004,2010
89,2012,6230,TMBATISTA,50,2012
89,2012,6230,MMANDRADE,7,50
89,2012,6230,RKRAUS,2012,53
2,6230,6230,WBALSAMO,6230,50
10,50,7,MVALERIO,50,2004
10,2004,2004,NELIZA,7,50
89,6029,7,MMANDRADE,7,50
2,6230,6230,LJACQUES,50,7
3,50,7,APPEREIRA,6029,50
94,50,7,MMARTINS,50,2004
109,50,7,LJACQUES,50,7
109,50,7,JSOUZA,7,7
7,7,7,LJACQUES,50,7
89,1,7,CLCCOSTA,2012,50
80,7,7,SRPATRICIO,7,2012
23,6227,2004,SAKOERICH,2004,50
2,6230,50,MMANDRADE,50,7
20,7,50,LJACQUES,50,2006
20,7,50,JSOUZA,7,50
20,7,50,LJACQUES,50,7
17,7,50,LJACQUES,50,7
80,10,7,LAVILLA,7,10
80,10,7,NELIZA,1537,10
110,51,1996,MLIMA,1996,1537
10,50,7,VASILVA,2004,2010
80,1,7,LFUHR,10,61
110,51,51,GERSON,1006,5895
110,51,51,ACFREITAS,5901,7
110,51,51,CRODRIGUES,2002,1537
110,51,51,NELIZA,1987,7
44,10,10,MMANDRADE,1537,10
44,10,10,AHSANTOS,1537,10
44,10,10,VAMARAL,10,1537
44,10,10,APPEREIRA,6029,1017
44,10,10,LFUHR,10,7
44,10,10,KCIPRIANI,6029,1006
94,50,7,LJACQUES,50,2004
89,50,7,LJACQUES,50,53
89,50,7,MMANDRADE,7,50
10,50,7,MMANDRADE,7,50
102,1537,7,BBRIBEIRO,2002,633
102,1537,7,BBRIBEIRO,2002,92
102,1537,7,ILIMA,53,1537
97,1788,51,CRODRIGUES,2002,633
110,51,51,RELUZ,1006,5901
110,51,51,LDECKER,93,5901
20,50,7,SRPATRICIO,7,50
80,7,7,MMANDRADE,1,7
80,7,7,JSOUZA,1,7
28,93,93,SDMARCOS,633,93
89,50,7,LJACQUES,50,2012
89,50,7,LJACQUES,50,6230
89,50,7,CLCCOSTA,2012,53
10,50,7,SAKOERICH,2004,7
10,50,7,FEMSANTOS,2004,2012
10,50,7,NELIZA,7,50
80,7,7,MMANDRADE,7,10
7,2006,2006,LJACQUES,50,2012
94,50,7,YFERREIRA,50,633
78,1537,7,NELIZA,1537,7
111,50,50,NELIZA,7,53
110,51,51,SFPEREIRA,51,7
110,51,51,MMANDRADE,7,51
114,50,7,MMANDRADE,7,1
89,50,7,APPEREIRA,6029,7
89,50,7,PPASSOLD,50,2012
29,1791,7,SRPATRICIO,7,1791
2,6230,50,SRPATRICIO,7,50
15,50,7,MMARTINS,50,2004
20,50,7,JFONTOURA,2012,50
97,6215,51,LRGREGORIO,51,2002
89,50,7,MCARVALHO,92,2012
91,10,10,BBRIBEIRO,2002,10
91,10,10,MMANDRADE,6027,7
91,10,10,LMSANTOS,10,2002
91,10,10,NELIZA,7,51
110,51,51,ISNUNES,1006,51
98,1537,7,MMANDRADE,1537,7
44,10,10,LJACQUES,50,7
79,1537,7,NELIZA,6027,51
79,1537,7,TCAPISTRANO,1788,1537
79,1537,7,NELIZA,6027,1788
80,1,7,NELIZA,2010,7
110,51,51,MSCOSTA,5895,50
110,51,51,TLSANTOS,5901,51
110,51,51,NELIZA,1537,6027
110,51,51,HVMAZZOLA,51,5901
110,51,51,DORIS,51,5901
110,51,51,JCCONRADO,5901,633
91,1537,7,JSOUZA,7,50
91,1537,7,LJACQUES,50,2006
96,7,51,CLCCOSTA,2012,2004
96,7,51,NELIZA,7,50
97,1788,51,ESARMENTO,92,2002
110,51,51,LDECKER,92,93
80,1,7,AHSANTOS,1,7
110,51,51,PVCOSTA,1006,5901
44,1996,1996,MWENTZ,1996,53
110,51,51,NELIZA,1537,6027
110,51,51,MCARVALHO,92,2002
23,2004,2004,GDDASILVA,2012,2004
10,50,7,DDURIEUX,2010,2004
89,2012,50,VPARGENDLER,50,2012
89,2012,50,MMARTINS,50,2012
89,2012,50,MMANDRADE,7,50
3,7,7,MMANDRADE,7,50
41,6080,7,SRPATRICIO,7,6080
23,2004,2004,SMITHOMAZ,2012,2004
110,51,51,VRCASTRO,92,5901
10,50,7,SDCARDOSO,2010,2012
110,51,51,ABSSOUZA,6230,5895
80,1,7,MMANDRADE,7,1537
110,51,51,JCCONRADO,5901,92
110,51,51,MHULLER,5901,51
110,51,51,IMCKOCHE,5901,92
110,51,51,HVMAZZOLA,51,1537
110,51,51,ILIMA,92,53
110,51,51,NELIZA,7,5895
29,7,7,MMANDRADE,7,1791
29,7,7,MMANDRADE,7,1791
7,50,7,ISRICARTE,2012,2004
10,50,7,AACASTRO,2004,2010
16,50,7,APPEREIRA,6029,7
110,51,2002,SFPEREIRA,51,2002
16,6029,7,LJACQUES,50,2004
16,6029,7,APPEREIRA,6029,50
91,6227,2002,NELIZA,6027,2002
4,50,7,LJACQUES,50,633
4,50,7,MMANDRADE,7,50
96,1786,51,VVCOSTA,51,2002
44,10,10,SDMARCOS,633,1537
44,10,10,MMANDRADE,7,7
44,10,10,MROSA,53,633
44,10,10,SRPATRICIO,7,7
44,10,10,ILIMA,53,633
44,10,10,REBSOUZA,633,7
2,50,50,ALIGARAUJO,6029,7
29,7,7,SDMARCOS,633,1791
29,7,7,VAGUIAR,1791,633
3,6029,7,MMANDRADE,6029,7
1,6230,6230,CLCCOSTA,2012,50
2,50,7,LJACQUES,50,6029
110,51,2002,TRAMIRES,2002,92
110,51,2002,MMANDRADE,7,5895
89,6230,6230,RKRAUS,2012,50
89,6230,6230,MCARVALHO,53,7
10,2004,2004,LJACQUES,50,2004
80,33,7,MMANDRADE,7,6029
17,2006,2006,LJACQUES,50,7
6,2012,50,LJACQUES,50,6029
7,10,7,LJACQUES,50,7
110,51,1996,NELIZA,6080,1996
110,51,1996,MCARVALHO,53,1996
11,6230,6230,LJACQUES,50,633
11,6230,6230,PPASSOLD,50,6230
23,2004,2004,FGCRUZ,2004,2012
20,50,7,VASILVA,2004,50
20,50,7,WBALSAMO,7,50
20,50,7,LJACQUES,50,7
110,51,1996,AHSANTOS,1537,1996
110,51,1996,MMANDRADE,7,1537
89,50,7,ILIMA,53,6029
89,50,7,CLCCOSTA,2012,93
108,6230,50,MMANDRADE,2012,7
108,6230,50,ISRICARTE,2012,50
108,6230,50,LJACQUES,50,2012
108,6230,50,WBALSAMO,6230,50
80,6080,6080,MMANDRADE,1,7
10,50,7,REBSOUZA,633,50
23,6227,2004,VASILVA,2004,1017
